Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1258,44955.64,3878.303333333333,4,6,20,0,,25,9,17.2,4.0,Standard,766.63,38.79470512627208,17 Years and 3 Months,Yes,0.0,70.3366921622799,High_spent_Medium_value_payments,567.4936411710535,2025-01-01
CUS_0x130c,9203.725,1048.9770833333332,10,5,18,7,"Student Loan, Mortgage Loan, Not Specified, Home Equity Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",37,21,1.8,11.0,_,2338.29,24.21894226717897,8 Years and 8 Months,NM,31.49706645080065,94.48429260579428,Low_spent_Large_value_payments,248.9163492767384,2025-01-01
CUS_0x133d,15307.26,1097.605,2,1,3,0,,5,1,4.89,3.0,Good,705.9,38.92848361223899,24 Years and 10 Months,No,0.0,136.61655255898927,Low_spent_Small_value_payments,354.7082217971798,2025-01-01
CUS_0x133f,100914.38999999998,8546.5325,5,5,16,5,"Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",28,9,19.35,4.0,Standard,1410.49,39.91276190688407,8 Years and 9 Months,Yes,242.9660429948069,245.34289879474483,High_spent_Medium_value_payments,616.3443082104483,2025-01-01
CUS_0x13e4,62475.56999999999,5307.2975,7,7,28,5,"Mortgage Loan, Student Loan, Student Loan, Home Equity Loan, and Personal Loan",25,16,20.37,11.0,Bad,3523.03,38.93791341448295,14 Years and 8 Months,NM,177.6339565933486,134.79769131162462,High_spent_Large_value_payments,458.29810209502676,2025-01-01
CUS_0x1463,95534.61,8015.2175,6,911,11,0,,27,14,3.92,0.0,Standard,1273.05,34.827544635467284,33 Years and 0 Months,NM,0.0,229.31647183359038,High_spent_Small_value_payments,832.2052781664098,2025-01-01
CUS_0x1499,100887.72,8271.31,5,7,19,4_,"Credit-Builder Loan, Home Equity Loan, Not Specified, and Payday Loan",18,14,11.92,1.0,_,491.35,27.53617371242432,20 Years and 5 Months,No,257.33635614342626,547.0614196151989,High_spent_Small_value_payments,282.7332242413747,2025-01-01
CUS_0x15c5,21585.13,1525.7608333333335,7,4,17,4,"Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, and Personal Loan",25,23,15.55,4.0,_,83.55,34.031232342575265,17 Years and 6 Months,Yes,67.60250044352797,153.1459567459441,Low_spent_Small_value_payments,221.82762614386132,2025-01-01
CUS_0x165f,28443.42,2314.285,7,4,9,2,"Not Specified, and Not Specified",23,12,7.23,4.0,_,1476.31,28.676159999719854,24 Years and 2 Months,No,39.80748155750632,23.55331702637377,High_spent_Large_value_payments,408.06770141611986,2025-01-01
CUS_0x1697,69035.64_,5691.97,8,9,30,7,"Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, Payday Loan, and Home Equity Loan",55,24,1.32,9.0,Bad,1931.25,40.052744348258464,10 Years and 3 Months,Yes,352.98099714824167,286.4964800405179,High_spent_Medium_value_payments,267.8243871118294,2025-01-01
CUS_0x16ae,51034.12,4499.843333333333,6,4,6,2,"Student Loan, and Credit-Builder Loan",16,23,11.87,1.0,Standard,1350.85,33.73788997493386,16 Years and 2 Months,Yes,65.43101498485487,108.81381239621874,High_spent_Large_value_payments,515.7395059522597,2025-01-01
CUS_0x1705,43543.72,3476.643333333333,3,3,7,1,Not Specified,3,0,6.7,3.0,_,189.81,35.23900633238463,23 Years and 10 Months,No,33.438042421967765,121.30817331708236,High_spent_Medium_value_payments,442.9181175942832,2025-01-01
CUS_0x1806,14675.03,963.9191666666668,8,5,18,3,"Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",9,18,6.25,2.0,Standard,170.53,24.54445989328916,33 Years and 2 Months,Yes,30.808786478185787,70.89412976602281,Low_spent_Small_value_payments,284.6890004224581,2025-01-01
CUS_0x18b5,63501.72,5471.81,9,8,21,2,"Auto Loan, and Not Specified",18,20,8.27,13.0,Bad,2056.37,24.3423678171845,10 Years and 3 Months,Yes,105.23868742935784,265.2056649688738,High_spent_Small_value_payments,436.73664760176837,2025-01-01
CUS_0x18be,8393.5,517.4583333333334,9,7,29,5,"Student Loan, Student Loan, Not Specified, Payday Loan, and Debt Consolidation Loan",15,21,2.92,2324.0,_,1685.82,29.616635490755,19 Years and 10 Months,Yes,28.70639739897536,55.762022340204275,Low_spent_Small_value_payments,257.27741359415364,2025-01-01
CUS_0x19a3,15636.605,1575.050416666667,8,7,3,4,"Payday Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",30,10,1.75,4.0,Standard,592.29,33.46180746839819,33 Years and 8 Months,No,43.51634815422617,57.445398894376076,Low_spent_Small_value_payments,346.54329461806435,2025-01-01
CUS_0x1a23,35205.45,3165.7875,3,7,7,3,"Personal Loan, Personal Loan, and Home Equity Loan",8,9,9.06,4.0,Good,671.94,26.909040272381034,31 Years and 4 Months,No,57.5149367240526,122.39312140018019,High_spent_Small_value_payments,396.6706918757672,2025-01-01
CUS_0x1a86,8135.92,378.9933333333333,7,5,32,9,"Student Loan, Payday Loan, Payday Loan, Home Equity Loan, Student Loan, Payday Loan, Payday Loan, Not Specified, and Payday Loan",35,18,16.62,10.0,_,3080.5,30.0043137567556,7 Years and 0 Months,Yes,58268.0,34.39249564026263,Low_spent_Small_value_payments,260.4104783620271,2025-01-01
CUS_0x1be1,40375.78,3121.648333333333,6,9,24,9,"Personal Loan, Student Loan, Credit-Builder Loan, Student Loan, Home Equity Loan, Auto Loan, Payday Loan, Mortgage Loan, and Not Specified",34,24,0.61,13.0,Bad,3619.68,24.99956075912563,12 Years and 9 Months,Yes,181.3210588959532,263.98175740266515,Low_spent_Medium_value_payments,146.86201703471497,2025-01-01
CUS_0x1c59,19188.055,1358.0045833333334,5,4,2,3,"Debt Consolidation Loan, Debt Consolidation Loan, and Payday Loan",1,8,4.5,7.0,_,464.09,29.115432791621647,22 Years and 9 Months,No,44.602370142630434,99.4528652305989,Low_spent_Small_value_payments,281.745222960104,2025-01-01
CUS_0x1cbd,36412.86,3054.405,7,4,7,3,"Personal Loan, Mortgage Loan, and Credit-Builder Loan",20,19_,4.06,0.0,_,1485.18,39.59519092507114,26 Years and 4 Months,No,71.17851038802098,60.13184789800843,High_spent_Medium_value_payments,424.13014171397066,2025-01-01
CUS_0x1cbe,59807.61,4976.9675,10,10,30,9,"Credit-Builder Loan, Mortgage Loan, Student Loan, Auto Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Home Equity Loan, and Not Specified",17,18,20.0,11.0,Bad,3126.29,22.49793557264316,8 Years and 2 Months,Yes,442.7665564250509,466.83500851898833,!@9#%8,106.19804065872086,2025-01-01
CUS_0x1ccd,17733.32,1687.7766666666666,5,5,19,3,"Mortgage Loan, Not Specified, and Not Specified",8,10,8.73,3.0,Standard,111.83,24.98656738112969,21 Years and 3 Months,No,25.97846029654173,72.55062320017032,Low_spent_Medium_value_payments,342.47628943437695,2025-01-01
CUS_0x1de9,106002.32,8974.526666666667,4,4,13,4,"Debt Consolidation Loan, Mortgage Loan, Student Loan, and Payday Loan",16,17,8.64,0.0,_,332.47,26.070000683836746,21 Years and 10 Months,No,218.5836408119718,194.27210285314356,!@9#%8,724.5969230015512,2025-01-01
CUS_0x1deb,98436.6,8079.050000000001,8,6,10,0,,33,16,10.28,3.0,Good,329.72,42.534609764176174,21 Years and 0 Months,No,0.0,247.00656039553326,High_spent_Medium_value_payments,810.8984396044671,2025-01-01
CUS_0x1f15,73378.32,5832.8600000000015,7,8,26,5,"Payday Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",16,23,9.76,9.0,Bad,2075.82,24.917911026768,10 Years and 8 Months,Yes,187.07294989609144,628.3738418094183,Low_spent_Small_value_payments,57.8392082944904,2025-01-01
CUS_0x1f2f,24821.36,2106.4466666666667,5,5,7,0,,6,20,_,6.0,Standard,298.88,24.0549437981924,33 Years and 1 Months,No,0.0,197.6771275587054,Low_spent_Small_value_payments,302.96753910796133,2025-01-01
CUS_0x206c,108472.35,9233.3625,5,7,2,4,"Mortgage Loan, Not Specified, Personal Loan, and Debt Consolidation Loan",11,14,0.57,3.0,_,1351.42,40.48686167491372,23 Years and 10 Months,No,241.60567434319992,475.08599508819435,Low_spent_Medium_value_payments,486.64458056860565,2025-01-01
CUS_0x20e5,99845.4,8600.45,1,1,11,2,"Mortgage Loan, and Not Specified",10,2,4.84,1.0,Good,778.1,35.944393066390006,21 Years and 0 Months,No,136.47422698899717,74.80111142472613,High_spent_Large_value_payments,888.7696615862767,2025-01-01
CUS_0x21ac,55593.99000000001,4874.8325,7,6,30,6,"Home Equity Loan, Payday Loan, Home Equity Loan, Debt Consolidation Loan, Auto Loan, and Student Loan",15,17,11.09,1709.0,Standard,1314.25,26.509890935420817,18 Years and 6 Months,Yes,269.03323381766097,97.67819675241422,High_spent_Medium_value_payments,370.77181942992485,2025-01-01
CUS_0x21be,99127.04,8217.586666666666,8,3,10,4,"Payday Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",17,19,13.88,7.0,Standard,1126.35,24.39190811534571,26 Years and 8 Months,Yes,245.9851478363627,103.59412642870585,High_spent_Large_value_payments,712.1793924015981,2025-01-01
CUS_0x22c1,108115.05,9022.5875,6,5,18,3,"Debt Consolidation Loan, Auto Loan, and Debt Consolidation Loan",27,15,1.27,1.0,Standard,1149.16,27.813691983036957,25 Years and 9 Months,NM,206.57627060498385,492.60944177902877,Low_spent_Large_value_payments,473.0730376159874,2025-01-01
CUS_0x22c5,71878.92_,6072.91,1712,1,5,2,"Personal Loan, and Student Loan",15,7,10.24,1.0,Good,664.92,31.194697710178534,32 Years and 0 Months,No,88.02229277320117,230.22829134123543,Low_spent_Medium_value_payments,569.0404158855633,2025-01-01
CUS_0x22f7,10542.045,1082.50375,7,6,19,4,"Not Specified, Home Equity Loan, Debt Consolidation Loan, and Home Equity Loan",5,10,1.54,0.0,Standard,528.87,26.89474439313082,17 Years and 8 Months,No,25.94871237968341,39.004480835301685,High_spent_Medium_value_payments,293.29718178501486,2025-01-01
CUS_0x22fe,76801.36,6387.113333333334,8,52,13,6,"Payday Loan, Personal Loan, Home Equity Loan, Student Loan, Mortgage Loan, and Not Specified",27,14,12.38,6.0,Standard,1172.94,26.8061309702922,8 Years and 2 Months,Yes,260.8469737901825,588.7151841605986,Low_spent_Large_value_payments,59.1491753825523,2025-01-01
CUS_0x23eb,109905.96,9096.83,8,4,8,1,Personal Loan,29,19,5.07,1.0,Standard,150.87,40.604555329362285,20 Years and 8 Months,Yes,90.5828662753115,272.93011483133944,Low_spent_Medium_value_payments,826.1700188933493,2025-01-01
CUS_0x243a,38456.2,2797.3483483933605,6,4,9,2,"Not Specified, and Mortgage Loan",29,18,5.699999999999998,3.0,Standard,313.26,40.817721474612725,24 Years and 10 Months,No,328.9018256729434,81.08513738076523,High_spent_Medium_value_payments,438.0163552195972,2025-01-01
CUS_0x24e0,46248.72,3884.06,8,7,14,7,"Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, and Not Specified",21,7,18.43,9.0,_,214.72,25.90256141892032,15 Years and 2 Months,Yes,207.84685793854428,120.25961915318643,High_spent_Medium_value_payments,310.2995229082693,2025-01-01
CUS_0x24ef,18110.7,1733.225,611,8,20,7,"Personal Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Debt Consolidation Loan, and Student Loan",28,19,4.09,14.0,Bad,1834.47,36.11229773298464,6 Years and 4 Months,Yes,100.731462348506,120.36625525089245,Low_spent_Large_value_payments,222.22478240060158,2025-01-01
CUS_0x255b,9555.94_,792.3283333333335,7,6,27,7,"Payday Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",28,15,5.72,11.0,_,3043.27,24.84576742393635,3 Years and 10 Months,NM,44.98108629602402,73.21774396806619,Low_spent_Small_value_payments,251.03400306924317,2025-01-01
CUS_0x2596,19886.07,1864.1725,8,6,5,2,"Debt Consolidation Loan, and Student Loan",25,11,14.65,5.0,Standard,1108.32,30.317652965286086,17 Years and 0 Months,Yes,29.6053184075048,50.83236077231178,High_spent_Small_value_payments,365.9795708201834,2025-01-01
CUS_0x25ad,19744.64,1451.3866666666663,3,6,34,3,"Not Specified, Debt Consolidation Loan, and Student Loan",21,10,11.1,6.0,Standard,1262.89,32.73228379825439,18 Years and 4 Months,NM,28.521275907446427,38.86611121220063,Low_spent_Medium_value_payments,357.75127954701964,2025-01-01
CUS_0x25f2,78426.52,6383.543333333334,8,4,9,0,,17,9,7.66,4.0,_,1221.49,38.34229546260352,15 Years and 8 Months,Yes,0.0,137.06981132283286,High_spent_Small_value_payments,761.2845220105006,2025-01-01
CUS_0x2697,98796.84,8206.07,1,3,4,2,"Auto Loan, and Mortgage Loan",15,2,4.31,3.0,Good,324.1,35.130956221491616,23 Years and 11 Months,No,110.2833806839318,241.9845135329512,High_spent_Medium_value_payments,718.339105783117,2025-01-01
CUS_0x26b0,14584.2_,997.35,8,9,15,4,"Mortgage Loan, Auto Loan, Credit-Builder Loan, and Home Equity Loan",51,9,19.9,12.0,_,1555.23,33.951664623462605,6 Years and 7 Months,Yes,46.138282868180006,82.97042248602406,High_spent_Small_value_payments,270.82927743327997,2025-01-01
CUS_0x26bf,77631.28,5852.639121833327,0,3,4,0,,3,1,2.94,5.0,Good,1136.29,32.359601205550234,22 Years and 6 Months,NM,557.6342115000068,230.09898843466868,High_spent_Medium_value_payments,660.9283448986648,2025-01-01
CUS_0x2728,39005.96,3380.4966666666664,10,10,17,6,"Debt Consolidation Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, Personal Loan, and Payday Loan",56,15,15.4,205.0,Bad,2845.49,25.009178307171545,12 Years and 11 Months,Yes,102.7957909761384,70.93233137603724,High_spent_Medium_value_payments,414.32154431449095,2025-01-01
CUS_0x27a6,47268.22,4058.018333333333,6,4,19,5,"Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",28,5,10.53,1807.0,_,914.7,31.51899830765132,14 Years and 11 Months,Yes,194.67710087016343,494.9295338788407,Low_spent_Small_value_payments,6.195198584329204,2025-01-01
CUS_0x27ad,60255.9,5024.325,5,3,16,1_,Debt Consolidation Loan,11,11,4.38,7.0,Standard,1364.56,38.31360425742273,20 Years and 6 Months,Yes,27.48482458834447,158.63544170425942,High_spent_Medium_value_payments,566.3122337073962,2025-01-01
CUS_0x27f4,7200.86,373.07166666666666,4,4,12,6,"Payday Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, and Home Equity Loan",12,8,7.22,5.0,Standard,1528.69,37.34198289431817,17 Years and 3 Months,NM,28.008171703377663,19.336478074262217,High_spent_Small_value_payments,249.9625168890268,2025-01-01
CUS_0x2801,30196.64,2590.3866666666668,7,5,23,3,"Student Loan, Auto Loan, and Payday Loan",13,19,2.36,9.0,Bad,2161.86,35.04681364733047,6 Years and 11 Months,Yes,61.80919228398942,58.84338257039032,!@9#%8,398.3860918122869,2025-01-01
CUS_0x281d,118062.2,10136.516666666666,0,1,7,0,,7,0,7.68,1.0,Good,1393.23,31.264947174659724,29 Years and 10 Months,No,0.0,151.4171206800708,!@9#%8,1102.2345459865958,2025-01-01
CUS_0x28c4,14066.03,1358.1691666666668,8,9,18,7,"Personal Loan, Auto Loan, Not Specified, Personal Loan, Student Loan, Student Loan, and Personal Loan",55,19,16.42,12.0,Bad,4965.47,30.736879481582942,9 Years and 0 Months,Yes,58.22839675913558,127.35898342949216,Low_spent_Small_value_payments,246.45337193178088,2025-01-01
CUS_0x28df,49023.60000000001,3935.300000000001,5,6,28,6,"Payday Loan, Payday Loan, Student Loan, Not Specified, Auto Loan, and Payday Loan",13,15,9.64,6.0,Standard,2521.52,38.25072840812745,14 Years and 10 Months,Yes,211.70975519526988,139.61046384275764,Low_spent_Small_value_payments,332.20978096197257,2025-01-01
CUS_0x28ee,34855.08,2847.59,5,7,23,5,"Payday Loan, Mortgage Loan, Payday Loan, Payday Loan, and Credit-Builder Loan",9,14,8.22,11.0,_,1652.88,28.877355578971127,17 Years and 5 Months,Yes,136.54267191977272,59.91366754204295,High_spent_Medium_value_payments,338.30266053818434,2025-01-01
CUS_0x290d,34791.08,3151.2566666666667,6,6,9,3,"Credit-Builder Loan, Student Loan, and Credit-Builder Loan",21,18,13.83,1.0,Standard,1477.48,41.140046481621816,29 Years and 3 Months,Yes,85.5466173847024,63.120904704299434,High_spent_Small_value_payments,426.45814457766477,2025-01-01
CUS_0x292b,84074.88,7097.240000000002,0,1,6,4,"Student Loan, Debt Consolidation Loan, Payday Loan, and Mortgage Loan",4,3,2.87,5.0,Good,396.97,35.65860849621272,28 Years and 6 Months,No,206.74063236421503,__10000__,High_spent_Large_value_payments,646.6287223313398,2025-01-01
CUS_0x2991,10427.44,629.9533333333334,9,5,21,7,"Mortgage Loan, Not Specified, Personal Loan, Payday Loan, Home Equity Loan, Student Loan, and Student Loan",55,15,11.62,12.0,Standard,1367.85,27.95067425284676,10 Years and 0 Months,NM,4363.0,22.438261760710887,Low_spent_Small_value_payments,273.7033284298449,2025-01-01
CUS_0x29a2,57765.42,4618.785,3,6,13,3,"Debt Consolidation Loan, Mortgage Loan, and Home Equity Loan",28,13,12.47,5.0,Standard,1276.72,25.78626129842356,13 Years and 0 Months,Yes,124.5485846977198,241.80787567448985,Low_spent_Small_value_payments,385.5220396277904,2025-01-01
CUS_0x2a11,167787.16,13952.263333333334,5,4,10,3,"Personal Loan, Not Specified, and Not Specified",3,0_,8.56,1.0,Good,1357.9,28.638273813316733,16 Years and 4 Months,No,413.5720377590062,275.0778574890321,High_spent_Large_value_payments,946.5764380852953,2025-01-01
CUS_0x2a64,49949.84,4002.486666666666,5,6,18,3,"Payday Loan, Debt Consolidation Loan, and Personal Loan",30,16,1.24,4.0,_,1465.06,38.76408433407615,16 Years and 2 Months,Yes,122.53762870540471,137.78322234242034,Low_spent_Large_value_payments,409.92781561884163,2025-01-01
CUS_0x2ad4,11038.375,776.8645833333335,7,6,10,1,Student Loan,19,12,10.94,2.0,Standard,432.06,29.501001628159297,21 Years and 11 Months,No,4.713183571733377,23.64013061466941,Low_spent_Medium_value_payments,329.3331441469305,2025-01-01
CUS_0x2b2c,43312.78_,3423.398333333333,4,1,3,1,Mortgage Loan,11,6,3.24,2.0,_,208.96,37.033354431348734,19 Years and 1 Months,No,25.34841994951779,117.23402305218045,High_spent_Small_value_payments,459.7573903316351,2025-01-01
CUS_0x2b6a,26805.85,2342.820833333333,7,7,8,5,"Auto Loan, Payday Loan, Personal Loan, Credit-Builder Loan, and Mortgage Loan",6,13,16.29,8.0,Standard,1434.01,25.925021382361173,13 Years and 2 Months,Yes,100.1392755845988,69.77385386432303,High_spent_Medium_value_payments,314.3689538844115,2025-01-01
CUS_0x2b98,8294.385,946.19875,7,7,26,7,"Home Equity Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Not Specified",6,11,7.59,4.0,Standard,1756.74,25.216640594738955,19 Years and 6 Months,NM,48.03206275820146,72.8765401776671,!@9#%8,263.71127206413144,2025-01-01
CUS_0x2bdd,68090.85,5717.2375,7,4,20,1,Auto Loan,6,13,2.43,9.0,Standard,791.78,38.74796257966721,23 Years and 0 Months,No,31.245931355663675,196.55735735304887,High_spent_Medium_value_payments,593.9204612912877,2025-01-01
CUS_0x2bf3,122658.64,10020.553333333331,8,3,14,2,"Debt Consolidation Loan, and Debt Consolidation Loan",30,10,11.98,2.0,_,210.65,27.18027785109455,30 Years and 8 Months,No,155.41014066011132,__10000__,Low_spent_Medium_value_payments,590.3600102446327,2025-01-01
CUS_0x2c7d,130293.36,10618.78,2,4,1,4,"Debt Consolidation Loan, Student Loan, Student Loan, and Credit-Builder Loan",10,8,11.32,6.0,_,1243.13,28.897762017294184,19 Years and 10 Months,No,392.8971261774402,842.2888510974333,Low_spent_Medium_value_payments,106.69202272512665,2025-01-01
CUS_0x2d64,78637.18,6435.098333333332,3,4,1,2,"Not Specified, and Auto Loan",3,2,8.08,6.0,_,953.94,37.53480686787911,19 Years and 3 Months,No,123.76135925548334,126.63133238401932,High_spent_Small_value_payments,522.8053225681397,2025-01-01
CUS_0x2d7e,84673.2,7153.099999999999,3,5,2,3,"Home Equity Loan, Student Loan, and Not Specified",8,5,2.09,1.0,Good,777.89,35.4793546739611,29 Years and 2 Months,No,130.50149973582734,257.0584561993654,High_spent_Medium_value_payments,577.7500440648073,2025-01-01
CUS_0x2db5,101853.6,8207.800000000001,4,6,16,3,"Payday Loan, Student Loan, and Mortgage Loan",30,12,9.36,11.0,Standard,905.08,29.45153701694649,17 Years and 5 Months,Yes,203.81129780291192,925.8061587900094,Low_spent_Small_value_payments,755.4401972534308,2025-01-01
CUS_0x2dc6,80574.12,6707.509999999998,0,3,4,1,Payday Loan,6,2,2.0,2.0,Good,1142.39,39.60440943656397,30 Years and 3 Months,No,56.99565327963241,191.77826253968325,High_spent_Medium_value_payments,671.9770841806843,2025-01-01
CUS_0x2e1d,53251.36,4636.613333333334,5,3,20,3,"Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",30,11,19.82,9.0,Standard,861.67,38.48759481655069,27 Years and 5 Months,Yes,128.20984422984478,241.89327159580253,Low_spent_Medium_value_payments,373.55821750768615,2025-01-01
CUS_0x2e55,16497.78,1291.8149999999996,8,6,22,2,"Auto Loan, and Payday Loan",51,17,1.64,10.0,Bad,2532.71,39.231168814655945,16 Years and 11 Months,Yes,16.48682869445058,14.60088737475345,High_spent_Medium_value_payments,348.09378393079595,2025-01-01
CUS_0x2e8b,138154.96,11388.913333333332,5,2,8,3,"Not Specified, Home Equity Loan, and Home Equity Loan",14,9,5.68,4.0,Good,1251.9,43.2996678838739,28 Years and 2 Months,No,270.19056660682685,302.25892382592167,High_spent_Small_value_payments,826.4418429005847,2025-01-01
CUS_0x2ec6,57582.42_,4508.535,6,10,25,9,"Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, and Payday Loan",43,18,29.52,8.0,Bad,3805.38,31.142839990634656,12 Years and 2 Months,Yes,431.2787426549352,103.51638281086656,High_spent_Large_value_payments,156.05837453419824,2025-01-01
CUS_0x2f04,38239.44,3485.620000000001,0,3,2,1,Student Loan,10,11,7.949999999999998,5.0,Good,1156.81,33.75219509998741,23 Years and 0 Months,NM,20.20344767930195,156.7096278439643,Low_spent_Large_value_payments,441.6489244767338,2025-01-01
CUS_0x2f24,58782.24000000001,4635.52,8,9,24,6,"Home Equity Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, and Payday Loan",48,24,29.09,13.0,Bad,2671.29,31.328282417246665,11 Years and 11 Months,Yes,229.55078269979128,302.3886593205964,Low_spent_Large_value_payments,246.6799601026172,2025-01-01
CUS_0x2f69,16675.28,1451.6066666666666,6,5,16,3,"Home Equity Loan, Personal Loan, and Personal Loan",10,9,12.71,13.0,Standard,1127.98_,31.51764423115464,26 Years and 4 Months,Yes,6105.0,43.323731934328244,Low_spent_Medium_value_payments,349.59409797272207,2025-01-01
CUS_0x3026,60214.04,5034.836666666667,7,5,18,5,"Debt Consolidation Loan, Student Loan, Home Equity Loan, Personal Loan, and Debt Consolidation Loan",16,18,1.97,12.0,Bad,1322.67,36.68156419035039,13 Years and 10 Months,Yes,201.95601657268352,40.4650605337572,High_spent_Large_value_payments,501.062589560226,2025-01-01
CUS_0x303d,17624.38,1483.6983333333335,7,9,26,7,"Credit-Builder Loan, Not Specified, Not Specified, Auto Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",38,20,6.92,10.0,Bad,1524.0,37.44141525769873,10 Years and 8 Months,Yes,55.4910376756675,46.23129403615904,High_spent_Medium_value_payments,296.6475016215068,2025-01-01
